     distance  sampling   unqualified
深圳       0.0     11877       181
东莞      69.0      1159        41
惠州      92.3       142         5
中山     121.0       367         9
广州     143.0      1182        34
佛山     149.0       391        15
江门     151.0        94         1
珠海     157.0       138         3
开平     233.0        91         3
揭西     267.0       123        28
普宁     284.0       147        10
揭阳     327.0        52         3
揭东     335.0        91         4
汕头     341.0       301        14
潮州     361.0        52         0
海南     679.0        65         0
广西     737.0       155         4
湖南     783.0       303        53
江西     811.0       168         2
福建     841.0       661         7
湖北    1114.0       199         4
安徽    1243.0        78         1
浙江    1297.0       252         6
江苏    1400.0        82         0
上海    1488.0       447         7
云南    1525.0        89         0
河南    1595.0       196         1
重庆    1689.0       214        10
山东    1864.0       366         1
河北    1959.0        91         1
四川    1990.0       107         4
山西    1999.0       160         1
北京    2161.0       156         5
天津    2163.0        68         0
内蒙古  2640.0       192         0
黑龙江  3350.0       135         0
