    v    d
1   6  0.6
2   6  3.0
3  11  1.2
4  11  6.7
5  13  4.9
6  14  3.0
7  16  5.5
8  16  7.9
9  16 10.4
10 18  5.2
11 18  8.5
12 19  4.3
13 19  6.1
14 19  7.3
15 19  8.5
16 21  7.9
17 21 10.4
18 21 10.4
19 21 14.0
20 23  7.9
21 23 11.0
22 23 18.3
23 23 24.4
24 24  6.1
25 24  7.9
26 24 16.5
27 26  9.8
28 26 12.2
29 27  9.8
30 27 12.2
31 27 15.2
32 29 12.8
33 29 17.1
34 29 23.2
35 29 25.6
36 31 11.0
37 31 14.0
38 31 20.7
39 32  9.8
40 32 14.6
41 32 15.8
42 32 17.1
43 32 19.5
44 35 20.1
45 37 16.5
46 39 21.3
47 39 28.0
48 39 28.3
49 39 36.6
50 40 25.9
