        t      h
1   0.000  9.677
2   0.921  9.479
3   1.843  9.308
4   2.949  9.125
5   3.871  8.982
6   4.978  8.814
7   5.900  8.686
8   7.006  8.525
9   7.928  8.388
10  8.967  8.220
11  9.981 -1.000
12 10.925 -1.000
13 10.954 10.820
14 12.032 10.500
15 12.954 10.210
16 13.875  9.936
17 14.982  9.653
18 15.903  9.409
19 16.826  9.180
20 17.931  8.921
21 19.037  8.662
22 19.959  8.433
23 20.839  8.220
24 22.015 -1.000
25 22.958 10.820
26 23.880 10.591
27 24.986 10.354
28 25.908 10.180

